Year,Region,gruppe.beschaeftigt,Value
2007,Enzkreis,geringes HH-Nettoeinkommen,35
2008,Enzkreis,geringes HH-Nettoeinkommen,34
2009,Enzkreis,geringes HH-Nettoeinkommen,34
2010,Enzkreis,geringes HH-Nettoeinkommen,34
2011,Enzkreis,geringes HH-Nettoeinkommen,34
2012,Enzkreis,geringes HH-Nettoeinkommen,34
2013,Enzkreis,geringes HH-Nettoeinkommen,34
2014,Enzkreis,geringes HH-Nettoeinkommen,34
2015,Enzkreis,geringes HH-Nettoeinkommen,34
2016,Enzkreis,geringes HH-Nettoeinkommen,34
2017,Enzkreis,geringes HH-Nettoeinkommen,33
2018,Enzkreis,geringes HH-Nettoeinkommen,32
2019,Enzkreis,geringes HH-Nettoeinkommen,31
2007,Land BW,geringes HH-Nettoeinkommen,42
2008,Land BW,geringes HH-Nettoeinkommen,42
2009,Land BW,geringes HH-Nettoeinkommen,41
2010,Land BW,geringes HH-Nettoeinkommen,42
2011,Land BW,geringes HH-Nettoeinkommen,42
2012,Land BW,geringes HH-Nettoeinkommen,42
2013,Land BW,geringes HH-Nettoeinkommen,42
2014,Land BW,geringes HH-Nettoeinkommen,42
2015,Land BW,geringes HH-Nettoeinkommen,42
2016,Land BW,geringes HH-Nettoeinkommen,41
2017,Land BW,geringes HH-Nettoeinkommen,41
2018,Land BW,geringes HH-Nettoeinkommen,40
2019,Land BW,geringes HH-Nettoeinkommen,39
2007,Enzkreis,mittleres HH-Nettoeinkommen,38
2008,Enzkreis,mittleres HH-Nettoeinkommen,38
2009,Enzkreis,mittleres HH-Nettoeinkommen,38
2010,Enzkreis,mittleres HH-Nettoeinkommen,38
2011,Enzkreis,mittleres HH-Nettoeinkommen,38
2012,Enzkreis,mittleres HH-Nettoeinkommen,38
2013,Enzkreis,mittleres HH-Nettoeinkommen,38
2014,Enzkreis,mittleres HH-Nettoeinkommen,37
2015,Enzkreis,mittleres HH-Nettoeinkommen,37
2016,Enzkreis,mittleres HH-Nettoeinkommen,37
2017,Enzkreis,mittleres HH-Nettoeinkommen,38
2018,Enzkreis,mittleres HH-Nettoeinkommen,38
2019,Enzkreis,mittleres HH-Nettoeinkommen,38
2007,Land BW,mittleres HH-Nettoeinkommen,36
2008,Land BW,mittleres HH-Nettoeinkommen,36
2009,Land BW,mittleres HH-Nettoeinkommen,36
2010,Land BW,mittleres HH-Nettoeinkommen,36
2011,Land BW,mittleres HH-Nettoeinkommen,36
2012,Land BW,mittleres HH-Nettoeinkommen,36
2013,Land BW,mittleres HH-Nettoeinkommen,35
2014,Land BW,mittleres HH-Nettoeinkommen,35
2015,Land BW,mittleres HH-Nettoeinkommen,35
2016,Land BW,mittleres HH-Nettoeinkommen,36
2017,Land BW,mittleres HH-Nettoeinkommen,36
2018,Land BW,mittleres HH-Nettoeinkommen,36
2019,Land BW,mittleres HH-Nettoeinkommen,37
2007,Enzkreis,hohes HH-Nettoeinkommen,27
2008,Enzkreis,hohes HH-Nettoeinkommen,28
2009,Enzkreis,hohes HH-Nettoeinkommen,28
2010,Enzkreis,hohes HH-Nettoeinkommen,28
2011,Enzkreis,hohes HH-Nettoeinkommen,28
2012,Enzkreis,hohes HH-Nettoeinkommen,28
2013,Enzkreis,hohes HH-Nettoeinkommen,28
2014,Enzkreis,hohes HH-Nettoeinkommen,28
2015,Enzkreis,hohes HH-Nettoeinkommen,29
2016,Enzkreis,hohes HH-Nettoeinkommen,29
2017,Enzkreis,hohes HH-Nettoeinkommen,29
2018,Enzkreis,hohes HH-Nettoeinkommen,30
2019,Enzkreis,hohes HH-Nettoeinkommen,31
2007,Land BW,hohes HH-Nettoeinkommen,22
2008,Land BW,hohes HH-Nettoeinkommen,23
2009,Land BW,hohes HH-Nettoeinkommen,23
2010,Land BW,hohes HH-Nettoeinkommen,22
2011,Land BW,hohes HH-Nettoeinkommen,22
2012,Land BW,hohes HH-Nettoeinkommen,22
2013,Land BW,hohes HH-Nettoeinkommen,22
2014,Land BW,hohes HH-Nettoeinkommen,23
2015,Land BW,hohes HH-Nettoeinkommen,23
2016,Land BW,hohes HH-Nettoeinkommen,23
2017,Land BW,hohes HH-Nettoeinkommen,24
2018,Land BW,hohes HH-Nettoeinkommen,24
2019,Land BW,hohes HH-Nettoeinkommen,25
