Year,Region,gruppe.beschaeftigt,Value
2007,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,31057.0
2008,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,31659.0
2009,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,29856.0
2010,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,29574.0
2011,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,31035.0
2012,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,31844.0
2013,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,32052.0
2014,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,32727.0
2015,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,33304.0
2016,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,34464.0
2017,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,35573.0
2018,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,36660.0
2019,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,37451.0
2020,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,37266.0
2021,Enzkreis,Sozialversicherungspflichtig beschäftigte Männer,37023.0
2007,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,21007.0
2008,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,21611.0
2009,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,21047.0
2010,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,21020.0
2011,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,21841.0
2012,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,22245.0
2013,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,22654.0
2014,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,23169.0
2015,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,23943.0
2016,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,24573.0
2017,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,25272.0
2018,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,26038.0
2019,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,26599.0
2020,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,26516.0
2021,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen,26421.0
2007,Enzkreis,Männer in Teilzeit,946.0
2008,Enzkreis,Männer in Teilzeit,955.0
2009,Enzkreis,Männer in Teilzeit,816.0
2010,Enzkreis,Männer in Teilzeit,992.0
2011,Enzkreis,Männer in Teilzeit,1435.0
2012,Enzkreis,Männer in Teilzeit,1488.0
2013,Enzkreis,Männer in Teilzeit,1485.0
2014,Enzkreis,Männer in Teilzeit,1627.0
2015,Enzkreis,Männer in Teilzeit,1772.0
2016,Enzkreis,Männer in Teilzeit,1903.0
2017,Enzkreis,Männer in Teilzeit,1972.0
2018,Enzkreis,Männer in Teilzeit,2060.0
2019,Enzkreis,Männer in Teilzeit,2176.0
2020,Enzkreis,Männer in Teilzeit,2209.0
2021,Enzkreis,Männer in Teilzeit,2469.0
