Year,Region,gruppe.beschaeftigt,Value
2007,Enzkreis,Rel. Beschäftigungsquote bei Ausländer/-innen,80.4
2008,Enzkreis,Rel. Beschäftigungsquote bei Ausländer/-innen,79.9
2009,Enzkreis,Rel. Beschäftigungsquote bei Ausländer/-innen,77.6
2010,Enzkreis,Rel. Beschäftigungsquote bei Ausländer/-innen,78.7
2011,Enzkreis,Rel. Beschäftigungsquote bei Ausländer/-innen,80.9
2012,Enzkreis,Rel. Beschäftigungsquote bei Ausländer/-innen,80.0
2013,Enzkreis,Rel. Beschäftigungsquote bei Ausländer/-innen,79.5
2014,Enzkreis,Rel. Beschäftigungsquote bei Ausländer/-innen,81.2
2015,Enzkreis,Rel. Beschäftigungsquote bei Ausländer/-innen,81.8
2016,Enzkreis,Rel. Beschäftigungsquote bei Ausländer/-innen,82.0
2017,Enzkreis,Rel. Beschäftigungsquote bei Ausländer/-innen,83.4
2018,Enzkreis,Rel. Beschäftigungsquote bei Ausländer/-innen,86.0
2019,Enzkreis,Rel. Beschäftigungsquote bei Ausländer/-innen,88.6
2020,Enzkreis,Rel. Beschäftigungsquote bei Ausländer/-innen,88.6
2007,Land BW,Rel. Beschäftigungsquote bei Ausländer/-innen,72.0
2008,Land BW,Rel. Beschäftigungsquote bei Ausländer/-innen,72.6
2009,Land BW,Rel. Beschäftigungsquote bei Ausländer/-innen,70.9
2010,Land BW,Rel. Beschäftigungsquote bei Ausländer/-innen,71.2
2011,Land BW,Rel. Beschäftigungsquote bei Ausländer/-innen,77.8
2012,Land BW,Rel. Beschäftigungsquote bei Ausländer/-innen,78.2
2013,Land BW,Rel. Beschäftigungsquote bei Ausländer/-innen,77.9
2014,Land BW,Rel. Beschäftigungsquote bei Ausländer/-innen,79.2
2015,Land BW,Rel. Beschäftigungsquote bei Ausländer/-innen,78.4
2016,Land BW,Rel. Beschäftigungsquote bei Ausländer/-innen,80.7
2017,Land BW,Rel. Beschäftigungsquote bei Ausländer/-innen,82.3
2018,Land BW,Rel. Beschäftigungsquote bei Ausländer/-innen,85.8
2019,Land BW,Rel. Beschäftigungsquote bei Ausländer/-innen,88.4
2020,Land BW,Rel. Beschäftigungsquote bei Ausländer/-innen,89.0
